"@type","title","description","modified","accessLevel","identifier","distribution_@type","distribution_mediaType","distribution_format","distribution_title","distribution_description","distribution_downloadURL","distribution_accessURL","distribution_describedBy","distribution_describedByType","keyword","bureauCode","programCode","describedBy","landingPage","issued","accrualPeriodicity","spatial","publisher.@type","publisher.name","contactPoint.@type","contactPoint.fn","contactPoint.hasEmail","successfully_archived"
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by County","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the County level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income). ","2023-09-22T18:06:00.191Z","public","dbcc9ba4a4144a6d823b4d429d2b97c6","dcat:Distribution","GeoDatabase/ZIP","ZIP","Geo Database",NA,"https://opendata.arcgis.com/api/v3/datasets/dbcc9ba4a4144a6d823b4d429d2b97c6_4/downloads/data?format=fgdb&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | Community Indicators | County | hud.official.content | Boundaries | Economy | Location | Society | Governmental Units | and Administrative and Statistical Boundaries | United States | Puerto Rico | and U.S. Island Areas","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/dbcc9ba4a4144a6d823b4d429d2b97c6/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/dbcc9ba4a4144a6d823b4d429d2b97c6/about","2019-01-29T15:54:46.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by County","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the County level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income). ","2023-09-22T18:06:00.191Z","public","dbcc9ba4a4144a6d823b4d429d2b97c6","dcat:Distribution","Shapefile/ZIP","ZIP","Shapefile",NA,"https://opendata.arcgis.com/api/v3/datasets/dbcc9ba4a4144a6d823b4d429d2b97c6_4/downloads/data?format=shp&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | Community Indicators | County | hud.official.content | Boundaries | Economy | Location | Society | Governmental Units | and Administrative and Statistical Boundaries | United States | Puerto Rico | and U.S. Island Areas","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/dbcc9ba4a4144a6d823b4d429d2b97c6/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/dbcc9ba4a4144a6d823b4d429d2b97c6/about","2019-01-29T15:54:46.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by Place","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the Place level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income). ","2023-11-01T20:09:56.806Z","public","35665594f7364a76b1ba7e63eb59d2a5","dcat:Distribution","GeoDatabase/ZIP","ZIP","Geo Database",NA,"https://opendata.arcgis.com/api/v3/datasets/35665594f7364a76b1ba7e63eb59d2a5_3/downloads/data?format=fgdb&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | Community Indicators | County | hud.official.content","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/35665594f7364a76b1ba7e63eb59d2a5/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/35665594f7364a76b1ba7e63eb59d2a5/about","2020-09-02T18:11:41.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by Place","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the Place level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income). ","2023-11-01T20:09:56.806Z","public","35665594f7364a76b1ba7e63eb59d2a5","dcat:Distribution","Shapefile/ZIP","ZIP","Shapefile",NA,"https://opendata.arcgis.com/api/v3/datasets/35665594f7364a76b1ba7e63eb59d2a5_3/downloads/data?format=shp&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | Community Indicators | County | hud.official.content","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/35665594f7364a76b1ba7e63eb59d2a5/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/35665594f7364a76b1ba7e63eb59d2a5/about","2020-09-02T18:11:41.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by State","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the State level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income).","2023-09-25T14:39:04.075Z","public","35f3c8985bc7407ba0fe8f7b2291f5c0","dcat:Distribution","GeoDatabase/ZIP","ZIP","Geo Database",NA,"https://opendata.arcgis.com/api/v3/datasets/35f3c8985bc7407ba0fe8f7b2291f5c0_2/downloads/data?format=fgdb&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | State | Community Indicators | hud.official.content","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/35f3c8985bc7407ba0fe8f7b2291f5c0/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/35f3c8985bc7407ba0fe8f7b2291f5c0/about","2019-01-29T16:38:30.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by State","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the State level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income).","2023-09-25T14:39:04.075Z","public","35f3c8985bc7407ba0fe8f7b2291f5c0","dcat:Distribution","Shapefile/ZIP","ZIP","Shapefile",NA,"https://opendata.arcgis.com/api/v3/datasets/35f3c8985bc7407ba0fe8f7b2291f5c0_2/downloads/data?format=shp&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | State | Community Indicators | hud.official.content","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/35f3c8985bc7407ba0fe8f7b2291f5c0/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/35f3c8985bc7407ba0fe8f7b2291f5c0/about","2019-01-29T16:38:30.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by Tract","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the Tract level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income).","2023-09-22T17:42:48.926Z","public","db5099395be44cbd8c6896136dbd5e7e","dcat:Distribution","GeoDatabase/ZIP","ZIP","Geo Database",NA,"https://opendata.arcgis.com/api/v3/datasets/db5099395be44cbd8c6896136dbd5e7e_1/downloads/data?format=fgdb&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | State | Community Indicators | Tract | hud.official.content | Boundaries | Economy | Location | Society | Governmental Units | and Administrative and Statistical Boundaries | United States | Puerto Rico | and U.S. Island Areas","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/db5099395be44cbd8c6896136dbd5e7e/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/db5099395be44cbd8c6896136dbd5e7e/about","2023-06-02T20:59:28.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Comprehensive Housing Affordability Strategy (CHAS) Estimate Data by Tract","Comprehensive Housing Affordability Strategy (CHAS) data documenting the extent of housing problems and housing needs, particularly for low income households, at the Tract level. This is estimated by the number of households that have certain housing problems and have income low enough to qualify for HUD’s programs (primarily 30, 50, and 80 percent of median income).","2023-09-22T17:42:48.926Z","public","db5099395be44cbd8c6896136dbd5e7e","dcat:Distribution","Shapefile/ZIP","ZIP","Shapefile",NA,"https://opendata.arcgis.com/api/v3/datasets/db5099395be44cbd8c6896136dbd5e7e_1/downloads/data?format=shp&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Comprehensive Housing Affordability Strategy | CHAS | Estimates | State | Community Indicators | Tract | hud.official.content | Boundaries | Economy | Location | Society | Governmental Units | and Administrative and Statistical Boundaries | United States | Puerto Rico | and U.S. Island Areas","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/db5099395be44cbd8c6896136dbd5e7e/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/db5099395be44cbd8c6896136dbd5e7e/about","2023-06-02T20:59:28.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Demographic Estimate Data by County","2016-2020 ACS 5-Year estimates of demographic variables (see below) compiled at the County level. These variables include Sex By Age, Hispanic Or Latino Origin By Race, Household Type (Including Living Alone), Households By Presence Of People Under 18 Years By Household Type, Households By Presence Of People 60 Years And Over By Household Type, Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over, Average Household Size Of Occupied Housing Units By Tenure, and Sex by Educational Attainment for the Population 18 Years and Over.","2023-09-22T17:45:09.735Z","public","c15a0ed006bc4bb5938e0161e7f21f33","dcat:Distribution","GeoDatabase/ZIP","ZIP","Geo Database",NA,"https://opendata.arcgis.com/api/v3/datasets/c15a0ed006bc4bb5938e0161e7f21f33_9/downloads/data?format=fgdb&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Demographic | Estimates | County | Community Indicators | hud.official.content","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/c15a0ed006bc4bb5938e0161e7f21f33/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/c15a0ed006bc4bb5938e0161e7f21f33/about","2019-01-31T19:26:26.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
"dcat:Dataset","ACS 5YR Demographic Estimate Data by County","2016-2020 ACS 5-Year estimates of demographic variables (see below) compiled at the County level. These variables include Sex By Age, Hispanic Or Latino Origin By Race, Household Type (Including Living Alone), Households By Presence Of People Under 18 Years By Household Type, Households By Presence Of People 60 Years And Over By Household Type, Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over, Average Household Size Of Occupied Housing Units By Tenure, and Sex by Educational Attainment for the Population 18 Years and Over.","2023-09-22T17:45:09.735Z","public","c15a0ed006bc4bb5938e0161e7f21f33","dcat:Distribution","Shapefile/ZIP","ZIP","Shapefile",NA,"https://opendata.arcgis.com/api/v3/datasets/c15a0ed006bc4bb5938e0161e7f21f33_9/downloads/data?format=shp&spatialRefId=4326&where=1%3D1",NA,NA,NA,"U.S. Department of Housing and Urban Development | HUD | Census | American Community Survey | ACS | Demographic | Estimates | County | Community Indicators | hud.official.content","025:00","025:000","https://hud.maps.arcgis.com/sharing/rest/content/items/c15a0ed006bc4bb5938e0161e7f21f33/info/metadata/metadata.xml?format=default&output=html","https://hudgis-hud.opendata.arcgis.com/datasets/c15a0ed006bc4bb5938e0161e7f21f33/about","2019-01-31T19:26:26.000Z",NA,"United States","org:Organization","U.S. Department of Housing and Urban Development","vcard:Contact","HUD eGIS Help Desk","mailto:GIShelpdesk@hud.gov",TRUE
